Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Epoch Time (s),Cumulative Time (s),Avg Batch Time (s),Num Batches,Learning Rate,Memory (MB)
1,4.245703247173177,0.042533135283363804,3.9338328739324697,0.08526357827476039,760.8031575679779,760.8031575679779,0.6431731726613298,1094,0.001,1094.39453125
2,3.7394149177035203,0.11307891529555149,3.530227026238609,0.1556509584664537,723.6820619106293,1484.4852194786072,0.6065852668211272,1094,0.0009779754323328191,1094.39453125
3,3.383912766655359,0.17506474710542352,3.173650596469355,0.21875,714.8107779026031,2199.2959973812103,0.6077050195097705,1094,0.0009140576474687263,1094.39453125
4,3.1086511574889886,0.23300388482632542,2.9237330538777115,0.26198083067092653,668.9836404323578,2868.279637813568,0.5607111473623969,1094,0.000814503363531613,1094.39453125
5,2.885279928526451,0.27357556368068253,2.742782775015115,0.3039137380191693,666.2184987068176,3534.4981365203857,0.5620075409765435,1094,0.0006890576474687264,1094.39453125
6,2.680899836245577,0.3131855575868373,2.5767630070162277,0.3428514376996805,670.3201401233673,4204.818276643753,0.5603063084743577,1094,0.00055,1094.39453125
7,2.5173047450822277,0.3472539609993906,2.4535008644143614,0.3625199680511182,666.1612379550934,4870.979514598846,0.5595965339671105,1094,0.0004109423525312737,1094.39453125
8,2.38378462407881,0.3738954905545399,2.3700172554570647,0.3821884984025559,662.2487616539001,5533.228276252747,0.5574997694008529,1094,0.00028549663646838715,1094.39453125
9,2.284354506179663,0.39902308043875684,2.2991023905361043,0.395267571884984,667.6088194847107,6200.837095737457,0.5620094077896592,1094,0.00018594235253127368,1094.39453125
10,2.224948020914137,0.4108108622790981,2.277708488912247,0.4033546325878594,670.4834146499634,6871.320510387421,0.5643780516967913,1094,0.00012202456766718092,1094.39453125
