model,corruption,clean_acc,corrupted_acc,corruption_error,relative_robustness
resnet50,gaussian_0.05,85.81016299137104,15.963566636136257,0.8403643336386375,0.18603351956972197
resnet50,gaussian_0.10,85.71428571428571,4.410354745925216,0.9558964525407478,0.05145413870246086
resnet50,gaussian_0.20,85.81016299137104,3.6912751677852347,0.9630872483221476,0.04301675977653631
resnet50,motion_blur,85.71428571428571,29.242569511025888,0.7075743048897412,0.3411633109619687
resnet50,brightness_dark,85.81016299137104,83.07766059443912,0.1692233940556087,0.9681564245810057
resnet50,brightness_bright,85.81016299137104,82.02301054650047,0.17976989453499526,0.9558659217877095
inception_v3,gaussian_0.05,87.63183125599232,79.29050814956855,0.2070949185043145,0.9048140043763677
inception_v3,gaussian_0.10,87.679769894535,64.47746883988495,0.35522531160115056,0.7353745215965009
inception_v3,gaussian_0.20,87.63183125599232,26.414189839865994,0.7358581016013401,0.30142231950744236
inception_v3,motion_blur,87.63183125599232,39.213806330757656,0.6078619366924234,0.44748358865405075
inception_v3,brightness_dark,87.63183125599232,82.64621284755513,0.17353787152444866,0.9431072210065646
inception_v3,brightness_bright,87.679769894535,83.98849472674976,0.16011505273250237,0.9579004920721705
densenet121,gaussian_0.05,90.12464046021093,5.704697986577181,0.9429530201342282,0.06329787234042554
densenet121,gaussian_0.10,90.12464046021093,2.876318312559923,0.9712368168744008,0.031914893617021274
densenet121,gaussian_0.20,90.12464046021093,3.0201342281879193,0.9697986577181208,0.03351063829787234
densenet121,motion_blur,90.12464046021093,14.23777564717162,0.8576222435282838,0.15797872340425534
densenet121,brightness_dark,90.12464046021093,85.3307766059444,0.14669223394055608,0.946808510638298
densenet121,brightness_bright,90.12464046021093,84.51581975071907,0.1548418024928092,0.9377659574468085
