model,strategy,best_val_acc,final_train_acc,final_val_acc,trainable_pct,total_training_time,train_pass_time,val_pass_time,data_fetch_time,dataset_setup_time,avg_epoch_time
resnet50,linear_probe,85.81016299137104,,,0.2608031344913439,566.1312596797943,401.6882653236389,164.44178891181946,30.728603839874268,0.021305561065673828,18.87104198932648
resnet50,last_block,93.52828379674017,96.06684328510292,93.09683604985618,63.75275133093605,666.934900522232,503.03203105926514,163.90167045593262,23.35382866859436,0.021101951599121094,22.231163350741067
resnet50,selective_20pct,92.42569511025887,98.797636030161,92.09012464046022,19.211937528421263,595.5735146999359,430.20330238342285,165.3690733909607,25.277899742126465,0.0223238468170166,19.852450489997864
resnet50,full,95.25407478427613,99.00142653352354,95.11025886864813,100.0,1504.7737035751343,1309.0088729858398,195.76252007484436,38.2417106628418,0.02176690101623535,50.159123452504474
inception_v3,linear_probe,87.63183125599232,,,0.2813653731915512,728.9948470592499,535.9585947990417,193.03517699241638,108.9148416519165,0.021566152572631836,24.29982823530833
inception_v3,last_block,95.06232023010547,99.71469329529243,94.96644295302013,58.96077079190323,988.7056636810303,751.5494148731232,237.15465140342712,53.110687494277954,0.02128911018371582,32.95685545603434
inception_v3,selective_20pct,93.57622243528284,99.59241899327492,93.48034515819751,19.46580584516766,1182.8605632781982,906.5635693073273,276.2949364185333,279.58572483062744,0.07024645805358887,39.42868544260661
inception_v3,full,95.54170661553212,99.71469329529243,95.20613614573347,100.0,1726.8727433681488,1535.9089288711548,190.9624161720276,35.22235584259033,0.039785146713256836,57.56242477893829
densenet121,linear_probe,90.12464046021093,,,0.4402538954953222,599.8593554496765,426.1049020290375,173.7534487247467,31.812039852142334,0.021245479583740234,19.99531184832255
densenet121,last_block,93.00095877277086,97.8601997146933,92.56951102588687,31.36723818065042,688.292328119278,495.0940580368042,193.19701147079468,40.10933804512024,0.021931886672973633,22.943077603975933
densenet121,selective_20pct,94.77468839884948,99.08294273486855,94.63087248322148,20.257091094329443,897.2946093082428,651.7327497005463,245.55934238433838,95.50081896781921,0.03632855415344238,29.90982031027476
densenet121,full,96.06903163950143,99.5516608926024,95.49376797698946,100.0,1415.373550415039,1238.9289615154266,176.44341778755188,21.63287591934204,0.02587413787841797,47.17911834716797
